year_added,month_added,month_name,titles_added,movies_added,shows_added,percentage_of_total
2008.0,1.0,January  ,1,1,0,0.01
2008.0,2.0,February ,1,0,1,0.01
2009.0,5.0,May      ,1,1,0,0.01
2009.0,11.0,November ,1,1,0,0.01
2010.0,11.0,November ,1,1,0,0.01
2011.0,5.0,May      ,1,1,0,0.01
2011.0,9.0,September,1,1,0,0.01
2011.0,10.0,October  ,11,11,0,0.13
2012.0,2.0,February ,1,1,0,0.01
2012.0,11.0,November ,1,1,0,0.01
2012.0,12.0,December ,1,1,0,0.01
2013.0,3.0,March    ,1,0,1,0.01
2013.0,8.0,August   ,1,0,1,0.01
2013.0,9.0,September,2,1,1,0.02
2013.0,10.0,October  ,2,1,1,0.02
2013.0,11.0,November ,2,2,0,0.02
2013.0,12.0,December ,2,2,0,0.02
2014.0,1.0,January  ,2,2,0,0.02
2014.0,2.0,February ,2,1,1,0.02
2014.0,4.0,April    ,2,1,1,0.02
2014.0,6.0,June     ,1,1,0,0.01
2014.0,7.0,July     ,1,1,0,0.01
2014.0,8.0,August   ,1,1,0,0.01
2014.0,9.0,September,1,1,0,0.01
2014.0,10.0,October  ,4,4,0,0.05
2014.0,11.0,November ,4,2,2,0.05
2014.0,12.0,December ,5,5,0,0.06
2015.0,1.0,January  ,1,1,0,0.01
2015.0,2.0,February ,3,3,0,0.03
2015.0,3.0,March    ,4,3,1,0.05
2015.0,4.0,April    ,5,1,4,0.06
2015.0,5.0,May      ,5,5,0,0.06
2015.0,6.0,June     ,5,4,1,0.06
2015.0,7.0,July     ,7,5,2,0.08
2015.0,8.0,August   ,2,2,0,0.02
2015.0,9.0,September,6,6,0,0.07
2015.0,10.0,October  ,14,10,4,0.16
2015.0,11.0,November ,3,2,1,0.03
2015.0,12.0,December ,18,14,4,0.21
2016.0,1.0,January  ,41,15,26,0.47
2016.0,2.0,February ,15,9,6,0.17
2016.0,3.0,March    ,16,14,2,0.18
2016.0,4.0,April    ,21,14,7,0.24
2016.0,5.0,May      ,11,9,2,0.13
2016.0,6.0,June     ,18,11,7,0.21
2016.0,7.0,July     ,28,19,9,0.32
2016.0,8.0,August   ,34,23,11,0.39
2016.0,9.0,September,46,29,17,0.53
2016.0,10.0,October  ,51,32,19,0.59
2016.0,11.0,November ,42,26,16,0.48
2016.0,12.0,December ,95,52,43,1.09
2017.0,1.0,January  ,72,58,14,0.83
2017.0,2.0,February ,81,65,16,0.93
2017.0,3.0,March    ,123,87,36,1.41
2017.0,4.0,April    ,91,66,25,1.04
2017.0,5.0,May      ,85,63,22,0.98
2017.0,6.0,June     ,92,65,27,1.06
2017.0,7.0,July     ,75,45,30,0.86
2017.0,8.0,August   ,110,77,33,1.26
2017.0,9.0,September,113,81,32,1.3
2017.0,10.0,October  ,125,97,28,1.44
2017.0,11.0,November ,82,55,27,0.94
2017.0,12.0,December ,115,80,35,1.32
2018.0,1.0,January  ,123,105,18,1.41
2018.0,2.0,February ,86,63,23,0.99
2018.0,3.0,March    ,170,138,32,1.95
2018.0,4.0,April    ,114,87,27,1.31
2018.0,5.0,May      ,95,70,25,1.09
2018.0,6.0,June     ,77,50,27,0.88
2018.0,7.0,July     ,150,125,25,1.72
2018.0,8.0,August   ,163,130,33,1.87
2018.0,9.0,September,123,81,42,1.41
2018.0,10.0,October  ,190,146,44,2.18
2018.0,11.0,November ,154,118,36,1.77
2018.0,12.0,December ,180,124,56,2.07
2019.0,1.0,January  ,151,116,35,1.73
2019.0,2.0,February ,145,103,42,1.66
2019.0,3.0,March    ,171,119,52,1.96
2019.0,4.0,April    ,161,119,42,1.85
2019.0,5.0,May      ,139,91,48,1.6
2019.0,6.0,June     ,168,122,46,1.93
2019.0,7.0,July     ,155,98,57,1.78
2019.0,8.0,August   ,131,87,44,1.5
2019.0,9.0,September,122,86,36,1.4
2019.0,10.0,October  ,191,128,63,2.19
2019.0,11.0,November ,253,187,66,2.91
2019.0,12.0,December ,212,168,44,2.43
2020.0,1.0,January  ,204,152,52,2.34
2020.0,2.0,February ,114,72,42,1.31
2020.0,3.0,March    ,137,93,44,1.57
2020.0,4.0,April    ,177,127,50,2.03
2020.0,5.0,May      ,157,105,52,1.8
2020.0,6.0,June     ,156,115,41,1.79
2020.0,7.0,July     ,146,103,43,1.68
2020.0,8.0,August   ,129,82,47,1.48
2020.0,9.0,September,168,115,53,1.93
2020.0,10.0,October  ,167,116,51,1.92
2020.0,11.0,November ,154,103,51,1.77
2020.0,12.0,December ,169,101,68,1.94
2021.0,1.0,January  ,132,96,36,1.52
2021.0,2.0,February ,109,65,44,1.25
2021.0,3.0,March    ,112,75,37,1.29
2021.0,4.0,April    ,188,135,53,2.16
2021.0,5.0,May      ,132,94,38,1.52
2021.0,6.0,June     ,207,124,83,2.38
2021.0,7.0,July     ,257,169,88,2.95
2021.0,8.0,August   ,178,117,61,2.04
2021.0,9.0,September,183,118,65,2.1
