country,title_count,percentage,movies,tv_shows
United States,3690,41.9,2752,938
India,1046,11.88,962,84
United Kingdom,806,9.15,534,272
Canada,445,5.05,319,126
France,393,4.46,303,90
Japan,318,3.61,119,199
Spain,232,2.63,171,61
South Korea,231,2.62,61,170
Germany,226,2.57,182,44
Mexico,169,1.92,111,58
China,162,1.84,114,48
Australia,160,1.82,94,66
Egypt,117,1.33,102,15
Turkey,113,1.28,83,30
Hong Kong,105,1.19,100,5
Nigeria,103,1.17,94,9
Italy,100,1.14,75,25
Brazil,97,1.1,66,31
Argentina,91,1.03,71,20
Belgium,90,1.02,78,12
Indonesia,90,1.02,86,4
Taiwan,89,1.01,19,70
Philippines,83,0.94,80,3
Thailand,70,0.79,46,24
South Africa,62,0.7,51,11
Colombia,52,0.59,20,32
Netherlands,50,0.57,42,8
Denmark,48,0.55,34,14
Ireland,46,0.52,32,14
Sweden,42,0.48,31,11
Singapore,41,0.47,18,23
Poland,41,0.47,32,9
United Arab Emirates,37,0.42,36,1
New Zealand,33,0.37,25,8
Lebanon,31,0.35,24,7
Israel,30,0.34,19,11
Norway,30,0.34,21,9
Chile,29,0.33,24,5
Russia,27,0.31,11,16
Malaysia,26,0.3,18,8
Pakistan,24,0.27,20,4
Czech Republic,22,0.25,16,6
Switzerland,19,0.22,18,1
Romania,14,0.16,14,0
Uruguay,14,0.16,13,1
Saudi Arabia,13,0.15,9,4
Austria,12,0.14,11,1
Luxembourg,12,0.14,10,2
Hungary,11,0.12,10,1
Iceland,11,0.12,8,3
Finland,11,0.12,7,4
Greece,11,0.12,9,2
Peru,10,0.11,10,0
Qatar,10,0.11,10,0
Bulgaria,10,0.11,10,0
Jordan,9,0.1,7,2
Kuwait,8,0.09,5,3
Vietnam,7,0.08,7,0
Serbia,7,0.08,7,0
,7,0.08,6,1
Kenya,6,0.07,6,0
Morocco,6,0.07,6,0
Portugal,6,0.07,6,0
Cambodia,6,0.07,6,0
Ghana,5,0.06,5,0
West Germany,5,0.06,3,2
Venezuela,4,0.05,4,0
Croatia,4,0.05,3,1
Bangladesh,4,0.05,4,0
Iran,4,0.05,4,0
Syria,3,0.03,2,1
Zimbabwe,3,0.03,3,0
Malta,3,0.03,2,1
Algeria,3,0.03,3,0
Soviet Union,3,0.03,3,0
Senegal,3,0.03,2,1
Ukraine,3,0.03,1,2
Slovenia,3,0.03,3,0
Cayman Islands,2,0.02,2,0
Namibia,2,0.02,2,0
Guatemala,2,0.02,2,0
Nepal,2,0.02,2,0
Mauritius,2,0.02,1,1
Iraq,2,0.02,2,0
Georgia,2,0.02,2,0
Burkina Faso,1,0.01,1,0
Cameroon,1,0.01,1,0
Montenegro,1,0.01,1,0
Uganda,1,0.01,1,0
Cuba,1,0.01,0,1
Paraguay,1,0.01,1,0
Sri Lanka,1,0.01,1,0
Sudan,1,0.01,1,0
Belarus,1,0.01,0,1
Panama,1,0.01,1,0
Ethiopia,1,0.01,1,0
Angola,1,0.01,1,0
Malawi,1,0.01,1,0
Bermuda,1,0.01,1,0
Palestine,1,0.01,1,0
Cyprus,1,0.01,0,1
Mongolia,1,0.01,1,0
Mozambique,1,0.01,1,0
Botswana,1,0.01,1,0
Dominican Republic,1,0.01,1,0
Vatican City,1,0.01,1,0
Nicaragua,1,0.01,1,0
Slovakia,1,0.01,1,0
Armenia,1,0.01,1,0
Latvia,1,0.01,1,0
Albania,1,0.01,1,0
Somalia,1,0.01,1,0
Samoa,1,0.01,1,0
Azerbaijan,1,0.01,0,1
Afghanistan,1,0.01,1,0
Lithuania,1,0.01,1,0
East Germany,1,0.01,1,0
Kazakhstan,1,0.01,1,0
Puerto Rico,1,0.01,0,1
Jamaica,1,0.01,1,0
Ecuador,1,0.01,1,0
Bahamas,1,0.01,1,0
Liechtenstein,1,0.01,1,0
