genre,title_count,percentage,movies,tv_shows
International Movies,2752,31.25,2752,0
Dramas,2427,27.56,2427,0
Comedies,1674,19.01,1674,0
International TV Shows,1351,15.34,0,1351
Documentaries,869,9.87,869,0
Action & Adventure,859,9.75,859,0
TV Dramas,763,8.66,0,763
Independent Movies,756,8.58,756,0
Children & Family Movies,641,7.28,641,0
Romantic Movies,616,6.99,616,0
TV Comedies,581,6.6,0,581
Thrillers,577,6.55,577,0
Crime TV Shows,470,5.34,0,470
Kids' TV,451,5.12,0,451
Docuseries,395,4.49,0,395
Music & Musicals,375,4.26,375,0
Romantic TV Shows,370,4.2,0,370
Horror Movies,357,4.05,357,0
Stand-Up Comedy,343,3.89,343,0
Reality TV,255,2.9,0,255
British TV Shows,253,2.87,0,253
Sci-Fi & Fantasy,243,2.76,243,0
Sports Movies,219,2.49,219,0
Anime Series,176,2.0,0,176
Spanish-Language TV Shows,174,1.98,0,174
TV Action & Adventure,168,1.91,0,168
Korean TV Shows,151,1.71,0,151
Classic Movies,116,1.32,116,0
LGBTQ Movies,102,1.16,102,0
TV Mysteries,98,1.11,0,98
Science & Nature TV,92,1.04,0,92
TV Sci-Fi & Fantasy,84,0.95,0,84
TV Horror,75,0.85,0,75
Cult Movies,71,0.81,71,0
Anime Features,71,0.81,71,0
Teen TV Shows,69,0.78,0,69
Faith & Spirituality,65,0.74,65,0
TV Thrillers,57,0.65,0,57
Movies,57,0.65,57,0
Stand-Up Comedy & Talk Shows,56,0.64,0,56
Classic & Cult TV,28,0.32,0,28
TV Shows,16,0.18,0,16
