release_year,total_titles,movies,tv_shows,avg_movie_duration
1925,1,0,1,
1942,2,2,0,35.0
1943,3,3,0,62.67
1944,3,3,0,52.0
1945,4,3,1,51.33
1946,2,1,1,58.0
1947,1,1,0,42.0
1954,2,2,0,118.0
1955,3,3,0,100.33
1956,2,2,0,101.0
1958,3,3,0,98.67
1959,1,1,0,143.0
1960,4,4,0,143.5
1961,1,1,0,156.0
1962,3,3,0,167.0
1963,2,1,1,194.0
1964,2,2,0,200.5
1965,2,2,0,151.5
1966,1,1,0,116.0
1967,5,4,1,105.25
1968,3,3,0,149.67
1969,2,2,0,140.0
1970,2,2,0,98.0
1971,5,5,0,142.8
1972,5,4,1,108.75
1973,10,10,0,123.1
1974,7,6,1,114.17
1975,7,7,0,111.43
1976,9,9,0,126.89
1977,7,6,1,133.5
1978,7,7,0,94.43
1979,11,10,1,122.5
1980,11,11,0,119.64
1981,13,12,1,126.08
1982,17,17,0,124.94
1983,11,11,0,110.36
1984,12,12,0,137.17
1985,10,9,1,114.67
1986,13,11,2,109.64
1987,8,8,0,100.25
1988,18,16,2,104.31
1989,16,15,1,110.53
1990,22,19,3,116.63
1991,17,16,1,86.0
1992,23,20,3,104.0
1993,28,24,4,116.58
1994,22,20,2,123.0
1995,25,23,2,114.0
1996,24,21,3,123.62
1997,38,34,4,117.26
1998,36,32,4,108.91
1999,39,32,7,119.25
2000,37,33,4,111.06
2001,45,40,5,115.4
2002,51,44,7,119.55
2003,61,51,10,116.27
2004,64,55,9,114.33
2005,80,67,13,113.93
2006,96,82,14,113.01
2007,88,74,14,113.23
2008,136,113,23,106.24
2009,152,118,34,108.95
2010,194,154,40,104.46
2011,185,145,40,102.87
2012,237,173,64,100.76
2013,288,225,63,98.05
2014,352,264,88,100.26
2015,560,398,162,99.51
2016,902,658,244,95.36
2017,1032,767,265,95.54
2018,1147,767,380,96.19
2019,1030,633,397,93.47
2020,953,517,436,92.14
2021,592,277,315,96.44
